 < 21:56:02 >  0 25 34,7707633972168 False 0 25 34,7707633972168 False 
 < 21:56:03 >  0 25 34,671329498291 False 0 25 34,671329498291 False 
 < 21:56:04 >  0 25 34,6641082763672 False 0 25 34,6641082763672 False 
 < 21:56:05 >  0 25 34,7264823913574 False 0 25 34,7264823913574 False 
 < 21:56:06 >  0 25 34,5700378417969 False 0 25 34,5700378417969 False 
 < 21:56:07 >  0 25 34,4965400695801 False 0 25 34,4965400695801 False 
 < 21:56:08 >  0 25 34,3635025024414 False 0 25 34,3635025024414 False 
 < 21:56:09 >  0 25 34,7714691162109 False 0 25 34,7714691162109 False 
 < 21:56:10 >  0 25 34,801700592041 False 0 25 34,801700592041 False 
 < 21:56:11 >  0 25 34,8468704223633 False 0 25 34,8468704223633 False 
 < 21:56:12 >  0 25 34,8698081970215 False 0 25 34,8698081970215 False 
 < 21:56:13 >  0 25 34,9243774414063 False 0 25 34,9243774414063 False 
 < 21:56:14 >  0 25 34,9663314819336 False 0 25 34,9663314819336 False 
 < 21:56:15 >  0 25 35,3092346191406 False 0 25 35,3092346191406 False 
 < 21:56:16 >  0 25 35,0527191162109 False 0 25 35,0527191162109 False 
 < 21:56:17 >  0 25 34,9026374816895 False 0 25 34,9026374816895 False 
 < 21:56:18 >  0 25 35,1815032958984 False 0 25 35,1815032958984 False 
 < 21:56:19 >  0 25 35,0722579956055 False 0 25 35,0722579956055 False 
 < 21:56:20 >  0 25 34,9713478088379 False 0 25 34,9713478088379 False 
 < 21:56:21 >  0 25 34,8800430297852 False 0 25 34,8800430297852 False 
 < 21:56:22 >  0 25 35,0481567382813 False 0 25 35,0481567382813 False 
 < 21:56:23 >  0 25 35,1647033691406 False 0 25 35,1647033691406 False 
 < 21:56:24 >  0 25 35,1473999023438 False 0 25 35,1473999023438 False 
 < 21:56:25 >  0 25 35,1990928649902 False 0 25 35,1990928649902 False 
 < 21:56:26 >  0 25 35,1428756713867 False 0 25 35,1428756713867 False 
 < 21:56:27 >  0 25 35,2767486572266 False 0 25 35,2767486572266 False 
 < 21:56:28 >  0 25 35,1595420837402 False 0 25 35,1595420837402 False 
 < 21:56:29 >  0 25 34,9156646728516 False 0 25 34,9156646728516 False 
 < 21:56:30 >  0 25 34,828254699707 False 0 25 34,828254699707 False 
 < 21:56:31 >  0 25 34,8779067993164 False 0 25 34,8779067993164 False 
 < 21:56:32 >  0 25 35,3976516723633 False 0 25 35,3976516723633 False 
 < 21:56:33 >  0 25 35,2597618103027 False 0 25 35,2597618103027 False 
 < 21:56:34 >  0 25 35,1059951782227 False 0 25 35,1059951782227 False 
 < 21:56:35 >  0 25 35,0844917297363 False 0 25 35,0844917297363 False 
 < 21:56:36 >  0 25 35,1101608276367 False 0 25 35,1101608276367 False 
 < 21:56:37 >  0 25 35,1681976318359 False 0 25 35,1681976318359 False 
 < 21:56:38 >  0 25 35,2879600524902 False 0 25 35,2879600524902 False 
 < 21:56:39 >  0 25 35,3021202087402 False 0 25 35,3021202087402 False 
 < 21:56:40 >  0 25 35,348087310791 False 0 25 35,348087310791 False 
 < 21:56:41 >  0 25 35,3816108703613 False 0 25 35,3816108703613 False 
 < 21:56:42 >  0 25 35,7162475585938 False 0 25 35,7162475585938 False 
 < 21:56:43 >  0 25 35,4516334533691 False 0 25 35,4516334533691 False 
 < 21:56:44 >  0 25 35,2936134338379 False 0 25 35,2936134338379 False 
 < 21:56:45 >  0 25 35,5647010803223 False 0 25 35,5647010803223 False 
 < 21:56:46 >  0 25 35,4478302001953 False 0 25 35,4478302001953 False 
 < 21:56:47 >  0 25 35,3892440795898 False 0 25 35,3892440795898 False 
 < 21:56:48 >  0 25 35,2408142089844 False 0 25 35,2408142089844 False 
 < 21:56:49 >  0 25 35,4017486572266 False 0 25 35,4017486572266 False 
 < 21:56:50 >  0 25 35,5112571716309 False 0 25 35,5112571716309 False 
 < 21:56:51 >  0 25 35,4870567321777 False 0 25 35,4870567321777 False 
 < 21:56:52 >  0 25 35,5319938659668 False 0 25 35,5319938659668 False 
 < 21:56:53 >  0 25 35,4691505432129 False 0 25 35,4691505432129 False 
 < 21:56:54 >  0 25 35,5965309143066 False 0 25 35,5965309143066 False 
 < 21:56:55 >  0 25 35,472957611084 False 0 25 35,472957611084 False 
 < 21:56:56 >  0 25 35,222843170166 False 0 25 35,222843170166 False 
 < 21:56:57 >  0 25 35,129322052002 False 0 25 35,129322052002 False 
 < 21:56:58 >  0 25 35,1729850769043 False 0 25 35,1729850769043 False 
 < 21:56:59 >  0 25 35,6868553161621 False 0 25 35,6868553161621 False 
 < 21:57:00 >  0 25 35,543212890625 False 0 25 35,543212890625 False 
 < 21:57:01 >  0 25 35,3838043212891 False 0 25 35,3838043212891 False 
 < 21:57:02 >  0 25 35,3567733764648 False 0 25 35,3567733764648 False 
 < 21:57:03 >  0 25 35,377025604248 False 0 25 35,377025604248 False 
 < 21:57:04 >  0 25 35,4297485351563 False 0 25 35,4297485351563 False 
 < 21:57:05 >  0 25 35,444278717041 False 0 25 35,444278717041 False 
 < 21:57:06 >  0 25 35,4977760314941 False 0 25 35,4977760314941 False 
 < 21:57:07 >  0 25 35,7809677124023 False 0 25 35,7809677124023 False 
 < 21:57:08 >  0 25 35,6942405700684 False 0 25 35,6942405700684 False 
 < 21:57:09 >  0 25 35,6275177001953 False 0 25 35,6275177001953 False 
 < 21:57:10 >  0 25 35,791934967041 False 0 25 35,791934967041 False 
 < 21:57:11 >  0 25 35,7757225036621 False 0 25 35,7757225036621 False 
