 < 22:17:21 >  0 0 
 < 22:23:01 >  344.579620361328 0 5.61677694320679 
 < 22:23:02 >  344.166351318359 0 5.65243148803711 
 < 22:23:03 >  343.33203125 0 5.7234058380127 
 < 22:23:04 >  342.061187744141 0 5.82896375656128 
 < 22:23:05 >  341.231658935547 0 5.59281492233276 
 < 22:23:06 >  340.836944580078 0 5.39864635467529 
 < 22:23:07 >  340.088958740234 0 5.02589511871338 
 < 22:23:08 >  339.049865722656 0 4.61272811889648 
 < 22:23:09 >  338.720092773438 0 4.51033306121826 
 < 22:23:10 >  338.079315185547 0 4.34302520751953 
 < 22:23:11 >  337.458892822266 0 4.2117862701416 
 < 22:23:12 >  336.558319091797 0 4.05730295181274 
 < 22:23:13 >  336.264892578125 0 4.01312303543091 
 < 22:23:14 >  335.687072753906 0 3.93151521682739 
 < 22:23:15 >  334.841156005859 0 3.82032990455627 
 < 22:23:16 >  334.564392089844 0 3.78517985343933 
 < 22:23:17 >  334.018432617188 0 3.71651554107666 
 < 22:23:18 >  333.217987060547 0 3.61601662635803 
 < 22:23:19 >  332.956024169922 0 3.58288908004761 
 < 22:23:20 >  332.439361572266 0 3.51676273345947 
 < 22:23:21 >  331.682525634766 0 3.41716861724854 
 < 22:23:22 >  331.435119628906 0 3.38378095626831 
 < 22:23:23 >  330.947692871094 0 3.3165431022644 
 < 22:23:24 >  330.235137939453 0 3.21444129943848 
 < 22:23:25 >  330.002624511719 0 3.18005204200745 
 < 22:23:26 >  329.545196533203 0 3.11077523231506 
 < 22:23:27 >  328.878234863281 0 3.00564813613892 
 < 22:23:28 >  328.661071777344 0 2.97031474113464 
 < 22:23:29 >  328.234527587891 0 2.89930462837219 
 < 22:23:30 >  327.6142578125 0 2.79201698303223 
 < 22:23:31 >  327.412750244141 0 2.75612115859985 
 < 22:23:32 >  327.017608642578 0 2.6841607093811 
 < 22:23:33 >  326.444702148438 0 2.57595252990723 
 < 22:23:34 >  326.259002685547 0 2.53986716270447 
 < 22:23:35 >  325.894165039063 0 2.4825496673584 
 < 22:23:36 >  325.353149414063 0 2.46822571754456 
 < 22:23:37 >  325.171813964844 0 2.48005485534668 
 < 22:23:38 >  324.805206298828 0 2.51737070083618 
 < 22:23:39 >  324.243133544922 0 2.5856020450592 
 < 22:23:40 >  324.052429199219 0 2.63000202178955 
 < 22:23:41 >  323.666320800781 0 2.65089225769043 
 < 22:23:42 >  323.076416015625 0 2.70757246017456 
 < 22:23:43 >  322.877197265625 0 2.72462487220764 
 < 22:23:44 >  322.475250244141 0 2.75655269622803 
 < 22:23:45 >  321.864135742188 0 2.80055952072144 
 < 22:23:46 >  321.658355712891 0 2.82831311225891 
 < 22:23:47 >  321.243774414063 0 2.84195065498352 
 < 22:23:48 >  320.825225830078 0 2.8690128326416 
 < 22:23:49 >  320.402740478516 0 2.90960717201233 
 < 22:23:50 >  319.976257324219 0 2.92328643798828 
 < 22:23:51 >  319.545745849609 0 2.95105361938477 
 < 22:23:52 >  319.111114501953 0 2.99391508102417 
 < 22:23:53 >  318.672241210938 0 3.00864219665527 
 < 22:23:54 >  318.005676269531 0 3.05434107780457 
 < 22:23:55 >  317.781219482422 0 3.0701322555542 
 < 22:23:56 >  317.328735351563 0 3.1025984287262 
 < 22:23:57 >  316.640777587891 0 3.153733253479 
 < 22:23:58 >  316.408905029297 0 3.17147207260132 
 < 22:23:59 >  315.941131591797 0 3.20804166793823 
 < 22:24:00 >  315.467864990234 0 3.24610662460327 
 < 22:24:01 >  314.747131347656 0 3.30610394477844 
 < 22:24:02 >  314.503875732422 0 3.32691526412964 
 < 22:24:03 >  314.012725830078 0 3.36978316307068 
 < 22:24:04 >  313.515106201172 0 3.43637418746948 
 < 22:24:05 >  313.011047363281 0 3.45789432525635 
 < 22:24:06 >  312.501098632813 0 3.49635910987854 
 < 22:24:07 >  311.727935791016 0 3.53659749031067 
 < 22:24:08 >  311.46875 0 3.54497218132019 
 < 22:24:09 >  310.949188232422 0 3.55503273010254 
 < 22:24:10 >  310.168884277344 0 3.55728793144226 
 < 22:24:11 >  309.908935546875 0 3.55279922485352 
 < 22:24:12 >  309.389678955078 0 3.54928874969482 
 < 22:24:13 >  308.871643066406 0 3.54026794433594 
 < 22:24:14 >  308.097595214844 0 3.52282118797302 
 < 22:24:15 >  307.840515136719 0 3.51615858078003 
 < 22:24:16 >  307.327941894531 0 3.50170278549194 
 < 22:24:17 >  306.563385009766 0 3.47751784324646 
 < 22:24:18 >  306.309753417969 0 3.46886801719666 
 < 22:24:19 >  305.804504394531 0 3.45069193840027 
 < 22:24:20 >  305.302032470703 0 3.4314866065979 
 < 22:24:21 >  304.553802490234 0 3.40076780319214 
 < 22:24:22 >  304.305938720703 0 3.3900101184845 
 < 22:24:23 >  303.812683105469 0 3.36776113510132 
 < 22:24:24 >  303.32275390625 0 3.34446954727173 
 < 22:24:25 >  302.836364746094 0 3.32001376152039 
 < 22:24:26 >  302.353668212891 0 3.29431843757629 
 < 22:24:27 >  301.874877929688 0 3.25329923629761 
 < 22:24:28 >  301.400207519531 0 3.23894333839417 
 < 22:24:29 >  300.929840087891 0 3.20909023284912 
 < 22:24:30 >  300.232879638672 0 3.16142559051514 
 < 22:24:31 >  300.002960205078 0 3.14471983909607 
 < 22:24:32 >  299.546905517578 0 3.11008429527283 
 < 22:24:33 >  298.872741699219 0 3.05487513542175 
 < 22:24:34 >  298.650787353516 0 3.03563332557678 
 < 22:24:35 >  298.211212158203 0 2.99618244171143 
 < 22:24:36 >  297.592712402344 0.285727679729462 2.93641066551208 
