 < 21:11:30 >  311.849090576172 1.02859210968018 43.2005348205566 
 < 21:11:31 >  311.704284667969 1.02784132957458 43.1919975280762 
 < 21:11:32 >  311.410095214844 1.02608788013458 43.1747856140137 
 < 21:11:33 >  311.115814208984 1.02325558662415 43.1486015319824 
 < 21:11:34 >  310.822357177734 1.0222954750061 43.1396789550781 
 < 21:11:35 >  310.529541015625 1.02038240432739 43.1216201782227 
 < 21:11:36 >  310.091430664063 1.01749992370605 43.0936698913574 
 < 21:11:37 >  309.945678710938 1.01653373241425 43.0840606689453 
 < 21:11:38 >  309.509246826172 1.01360559463501 43.0541915893555 
 < 21:11:39 >  309.364074707031 1.01261568069458 43.0438652038574 
 < 21:11:40 >  309.074127197266 1.01061105728149 43.0228614807129 
 < 21:11:41 >  308.784790039063 101.008567810059 43.0009765625 
 < 21:11:42 >  308.496063232422 101.006469726563 42.978572845459 
 < 21:11:43 >  308.064178466797 101.003227233887 42.9436492919922 
 < 21:11:44 >  307.920532226563 101.00212097168 42.9318580627441 
 < 21:11:45 >  311.888397216797 101.002235412598 42.8962478637695 
 < 21:11:46 >  313.433502197266 101.003593444824 42.884521484375 
 < 21:11:47 >  316.545043945313 101.006576538086 42.8621788024902 
 < 21:11:48 >  321.217712402344 101.011070251465 42.8333358764648 
 < 21:11:49 >  322.774871826172 101.012535095215 42.8260116577148 
 < 21:11:51 >  325.888336181641 101.01545715332 42.8167915344238 
 < 21:11:52 >  330.556396484375 101.01993560791 42.8207855224609 
 < 21:11:52 >  332.11181640625 101.023147583008 42.8358383178711 
 < 21:11:53 >  335.221649169922 101.024879455566 42.8464622497559 
 < 21:11:54 >  339.883636474609 101.030937194824 42.886547088623 
 < 21:11:56 >  341.436737060547 101.033325195313 42.8996353149414 
 < 21:11:56 >  344.541412353516 101.038734436035 42.9214363098145 
 < 21:11:58 >  349.193908691406 101.048301696777 42.9447631835938 
 < 21:11:59 >  350.743408203125 101.051773071289 42.9509582519531 
 < 21:11:59 >  353.840393066406 101.058799743652 42.9615211486816 
 < 21:12:00 >  358.48095703125 101.068618774414 42.9751892089844 
 < 21:12:02 >  360.026580810547 101.071662902832 42.9839057922363 
 < 21:12:02 >  363.116119384766 101.077499389648 42.9884414672852 
 < 21:12:03 >  367.746337890625 101.085838317871 43.0038146972656 
 < 21:12:04 >  369.288696289063 101.09122467041 43.0157051086426 
 < 21:12:05 >  372.371795654297 101.093894958496 43.022346496582 
 < 21:12:07 >  376.992553710938 101.101943969727 43.0446319580078 
 < 21:12:08 >  378.531768798828 101.107398986816 43.0615577697754 
 < 21:12:08 >  381.608551025391 101.110168457031 43.0705490112305 
 < 21:12:09 >  386.219604492188 101.118667602539 43.0999908447266 
 < 21:12:11 >  389.290832519531 101.124519348145 43.1236953735352 
 < 21:12:11 >  390.825592041016 101.127494812012 43.1403388977051 
 < 21:12:12 >  395.42626953125 101.136642456055 43.208438873291 
 < 21:12:13 >  396.958618164063 101.139762878418 43.2652168273926 
 < 21:12:14 >  400.021484375 101.146095275879 43.2961158752441 
 < 21:12:15 >  404.610687255859 101.157073974609 43.3944396972656 
 < 21:12:16 >  406.138824462891 101.161331176758 43.4280052185059 
 < 21:12:17 >  409.192443847656 101.170570373535 43.4947547912598 
 < 21:12:18 >  413.765594482422 101.185844421387 43.5913314819336 
 < 21:12:19 >  415.287933349609 101.196617126465 43.6521987915039 
 < 21:12:20 >  418.329406738281 101.202079772949 43.6814613342285 
 < 21:12:22 >  421.366607666016 101.213035583496 43.7371978759766 
 < 21:12:23 >  425.914459228516 37.3186874389648 43.8136978149414 
 < 21:12:23 >  427.428344726563 9.90639400482178 43.8373756408691 
 < 21:12:24 >  430.453033447266 1.24497735500336 43.8822212219238 
 < 21:12:25 >  434.981811523438 1.2599949836731 43.9457130432129 
 < 21:12:27 >  436.476196289063 1.26481759548187 43.9666900634766 
 < 21:12:27 >  438.110321044922 1.27396678924561 44.0085678100586 
 < 21:12:29 >  437.780151367188 1.28203105926514 44.073184967041 
 < 21:12:29 >  437.598358154297 1.28402376174927 44.0949745178223 
 < 21:12:30 >  437.040802001953 1.28973281383514 44.1615791320801 
 < 21:12:31 >  436.854125976563 1.2916247844696 44.1839942932129 
 < 21:12:32 >  436.480102539063 1.29547941684723 44.2291984558105 
 < 21:12:33 >  436.105010986328 1.29941821098328 44.2748718261719 
 < 21:12:35 >  435.540222167969 1.30545926094055 44.3437881469727 
 < 21:12:36 >  435.351348876953 1.30750226974487 44.3668823242188 
 < 21:12:37 >  434.972686767578 1.31162679195404 44.4130783081055 
